job_title,company,location,experience,salary,posted_time,applicants,job_description,key_skills,job_url,location_clean,experience_min,experience_level,salary_lpa_min,skill_list,is_data_role,SQL,Python,Excel,Power BI,Tableau,Machine Learning,Statistics,AWS,Azure,Data visualization,Data Analysis,core_tools_score,bi_tools_score,advanced_score,cloud_score
Employee Data Analyst,Salesforce,Hyderabad,5 - 6 years,Avg. salary - 17.3 LPA,2 weeks ago,100+,"Employee Data Analyst This role reports to the Manager Data Ops Workday OB and is critical to ensuring the success of our employees at Salesforce Candidate shall have strong organisational skills with a high attention to detail, outstanding time management and communication skills, commitment to exceptional customer support and the ability to build relationships at every level of the organisation This person must be comfortable dealing with highly sensitive and confidential matters The responsibilities of the Employee Data Analyst include but are not limited to the following: Review and process Manager Self-Service transactions for all kinds of data changes in Workday Audit Global work authorisation (GWA) for new hires and international transfers Case management - case triaging, adhering to SLAs, meet CSAT expectations Contract management and Background Investigation Process management Identify and Perform data audits to ensure meeting clean data requirements Create and analyse various HR reports for monthly, quarterly dashboards Support our centralised knowledge base within our employee portal; identify and close knowledge gaps by creating, updating and improving knowledge articles to keep information relevant for employees Maintain appropriate level of process, program, and policy knowledge in order to assist Employees and Managers Act as point of contact and subject matter expert(SME) for all things related to worker data, ensuring data integrity and global standardisation of key processes and transactions. Support team members with their queries and issue resolution as an SME Participate in UAT and implementing system upgrades and rollout of new features Own data integrity of all employee change transactions by following the outlined peer review/audit process Ensure compliance with audit requirements by completing work correctly and timely Provide superior customer service to employees using our customer service portal by resolving Tier 2 queries Liaise effectively and collaboratively with stakeholders and other support teams to resolve issues Participation in related projects such as MA, G4G, Merit cycles, and other Global initiatives Work collaboratively across a global team for standardisation and continuous improvements Bring process optimisation ideas to meet our efficiency goals Lead move the work (MTW) initiative for transitioning processes from COEs and Regional teams to Data Ops Must have strong understanding of data integrity and data privacy requirements Work effectively in a team environment Intermediate to Advanced knowledge of Excel Proven ability to diagnose a problem, informed by data and lead correction efforts Proven project management skills Exceptional customer service orientation Ability to prioritise competing priorities in a high-paced work environment Drives results and is solutions-oriented Ability to maintain confidentiality in all aspects of job responsibilities Exceptional time management, organisational, prioritisation and follow-up skills Requirements For Success: 1. Problem Solving: uses rigorous logic to understand hidden problems and identify effective solutions without adding complexity 2. Communication: Possess excellent presentation skills and comfort presenting to upper management 3. Priority Setting: Ability to work well under pressure, handle multiple tasks in a fast-paced environment 4. Customer Focus: Ability to work cross-functionally and manage multiple responsibilities with tight deadlines 5. Detail Oriented: Focus on data accuracy and system integrity 6. Trust: Demonstrated ability to handle highly sensitive data","contract management, crm, customer support, data analysis, data integrity, data privacy, issue resolution, operational support, process management, salesforce",https://www.naukri.com/job-listings-employee-data-analyst-salesforce-hyderabad-5-to-6-years-150126504411,Hyderabad,5.0,Mid,3.0,"['issue resolution', 'process management', 'operational support', 'customer support', 'data privacy', 'data analysis', 'data integrity', 'crm', 'salesforce', 'contract management']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Data Analyst I,Syneos Health,Hyderabad,2 - 4 years,Avg. salary - 13.5 LPA,1 day ago,100+,"Our Clinical Development model brings the customer and the patient to the center of everything that we'do. We are continuously looking for ways to simplify and streamline our work to not only make Syneos Health easier to work with, but to make us easier to work for. Whether you join us in a Functional Service Provider partnership or a Full-Service environment, you'll collaborate with passionate problem solvers, innovating as a team to help our customers achieve their goals. We are agile and driven to accelerate the delivery of therapies, because we are passionate to change lives. We are passionate about developing our people, through career development and progression; supportive and engaged line management; technical and therapeutic area training; peer recognition and total rewards program. We are committed to our Total Self culture where you can authentically be yourself. Our Total Self culture is what unites us globally, and we are dedicated to taking care of our people. We are continuously building the company we all want to work for and our customers want to work with. WhyBecause when we bring together diversity of thoughts, backgrounds, cultures, and perspectives we're able to create a place where everyone feels like they belong. Primary Roles and Responsibilities Develop and optimize complex SQL queries, including joins and Common Table Expressions (CTEs), for data extraction and transformation. Proven ability to lead client engagements and present complex findings. Able to work independently without the needs for close supervision and collaboratively as part of cross team efforts Extremely strong organizational and analytical skills with strong attention to details Ensure business logic and data quality checks are implemented and functioning correctly within ADF and Databricks pipelines. Troubleshoot and resolve data-related issues by conducting detailed root cause analysis and implementing corrective actions. Ensure timely data delivery by tracking system performance and proactively addressing issues within defined SLAs. Collaborate with technical and business stakeholders to support operational and analytical data needs. Maintain strong documentation practices to ensure continuity and clarity across the team. Understand data integrations with third-party platforms such as Veeva CRM and Salesforce . Provide support during shift hours as per business requirements in EST time zones. Communicate effectively within team and across departments to align on objectives and tasks. Bachelors degree in Computer Science, Engineering, IT, or a related field. Must hold an Azure Data Engineer Associate (DP-203) certification. Databricks certifications are highly desirable. Strong communication, collaboration, and teamwork skills Azure Data Lake Gen2(ADLS) Lakehouse Architecture Azure Automation Account","analytical, automation, crm, data analysis, data extraction, data quality, operations, recruitment, salesforce, sql",https://www.naukri.com/job-listings-data-analyst-i-syneos-health-hyderabad-2-to-4-years-020226501376,Hyderabad,2.0,Entry,5.0,"['data quality', 'analytical', 'recruitment', 'automation', 'data analysis', 'crm', 'data extraction', 'salesforce', 'operations', 'sql']",1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Data Analyst,S&P Global Market Intelligence,Hyderabad/Secunderabad,2 - 5 years,1-4 Lacs P.A.,6 days ago,100+,"S&P Global Market Intelligence Hyderabad, Ahmedabad The Team: The Transactions teams mission is to produce the most actionable, transparent, trusted, and comprehensive data insights in the marketplace for MA, Public Offerings, Equity Buybacks, and Bankruptcy. We are currently looking for a highly skilled data analyst with exceptional detail orientation and analytical skills to join us in our mission. Whats in it for you: Opportunity to learn and develop understanding on global financial markets and regulatory environment Exposure and opportunity to develop state-of-the-art data collection technology and tools. Opportunity to independently own, execute, and contribute to a wide range of business initiatives and projects Being a part of a team driven by organizational values of Excellence, Integrity, and Relevance. Responsibilities: Research, collect and rationalize Transactions related datapoints from company filings, regulatory docs, press announcements, and other sources. Deliver on predefined individual and team targets including delivering outcomes with the highest level of quality and excellence Contribute to SME building initiatives to improve individual and team quality Knowledge of Data Modelling, Python, Java Scripts. Certification preferred. Lean Six Sigma Certification Multi-lingual","accountingsix sigma, communication skills, compliance, data analysis, data collection, financial markets, java, microsoft office, python, research, retail, supply chain, workforce planning",https://www.naukri.com/job-listings-data-analyst-s-p-capital-iq-india-pvt-ltd-hyderabad-ahmedabad-2-to-5-years-290126907915,Hyderabad,2.0,Entry,1.0,"['retail', 'java', 'supply chain', 'compliance', 'data analysis', 'data collection', 'python', 'accountingsix sigma', 'financial markets', 'microsoft office', 'workforce planning', 'research', 'communication skills']",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Data Analyst,Soul Ai,Ahmedabad,2 - 4 years,3-5 Lacs P.A.,5 days ago,100+,Hiring office located in Hyderabad Were hiring a Data Analyst to turn raw data into meaningful visualizations and reports. Key Responsibilities: Analyze structured and unstructured data. Create dashboards and reports for decision-making. Identify trends and provide actionable recommendations. Collaborate with product and business teams. Required Qualifications: 2+ years in data analysis. Strong SQL and Excel skills. Proficient in Tableau/Power BI or similar.,"business analysis, dashboard development, dashboards, data analysis, data mining, hlookup, pivot table, power bi, predictive analytics, python, sas, vlookup",https://www.naukri.com/job-listings-data-analyst-soul-ai-hyderabad-2-to-4-years-290126931795,Other,2.0,Entry,3.0,"['data mining', 'vlookup', 'dashboards', 'sas', 'data analysis', 'dashboard development', 'predictive analytics', 'pivot table', 'power bi', 'business analysis', 'hlookup', 'python']",1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0
Data Analyst - Data Forward Event,S&P Global Market Intelligence,Bangalore/Bengaluru,1 - 4 years,4-7 Lacs P.A.,1 day ago,100+,"Data Analyst - Data Forward Event S&P Global Market Intelligence Hyderabad, Ahmedabad, Bengaluru Data Analyst - Data Forward Event S&P Global Market Intelligence Grade Level (for internal use): The Team of Data Analysts work on various research reports and company documents to collect information & generate meaningful consensus from the collected data. This effort is coupled with real time monitoring of global industry trade publications and websites/news aggregators. Different Team supports different different data groups like Event, Private data, Fundamentals, Transactions (M&A and Capital Market Data) , Estimated & Market data Team, and many more We provide highest quality content that is essential for our clients to make decisions with conviction . As a Data Analyst, you will support the integrity and comprehensiveness of the data set by utilizing internal & external public research sources such as government & regulatory documents, stock exchanges, industry journals, analyst reports and our internal research tools to collect, summarize, and synthesize relevant information. With exciting learning opportunities at its core, we'll help you focus on building the essential skills needed for a successful and meaningful transition into the professional world. This position is an excellent steppingstone to understand the global market dynamism, that will allow you to gain a comprehensive understanding of the market and enable you to learn the various facets of the assigned industry. Once strong fundamental understanding of the dataset and proficiency at workflows is developed, this role would require working with new talent to develop/enhance your skillset and working on process improvement projects including LEAN/automation projects. High quality data (Financial / Non-Financial Data) collation, analysis, extraction and entering the data in work tools as per guideline specifications for assigned vertical Understand the working of the dataset, be aware of the workflows and have strong working knowledge of work tools Providing input and ideas for new collection methods and product enhancements related to the dataset Deliver on predefined individual and team targets including delivering outcomes with quality and excellence. Create tech expertise within department Troubleshoots problems or issues and support team in enhancing the workflow/processes for department Reviewing feedback involving transactions content to help correct errors and establish or refine procedures and processes to improve accuracy What Were Looking For: in Finance as major Specialization with good academic track record (passing year 2024/2025) Excellent communication skills, both written and oral Knowledge of corporate finance / accountancy i.e., financial statements and annual reports Well versed with secondary research sources Willing to work in 24*5 environment on rotational shifts (including night shifts) Strong quantitative, analytical, and interpretive skills Ability to conduct efficient thematic online research Location - Hyderabad, Ahmedabad, Bangalore, Gurgaon,","automation, collection, communication skills, corporate finance, data analysis, financial data, market data, process improvement, research, research tools, secondary research, trade",https://www.naukri.com/job-listings-data-analyst-data-forward-event-sp-capital-iq-india-pvt-ltd-hyderabad-ahmedabad-bengaluru-1-to-4-years-020226912650,Bengaluru,1.0,Entry,4.0,"['secondary research', 'research tools', 'corporate finance', 'collection', 'trade', 'market data', 'automation', 'data analysis', 'process improvement', 'financial data', 'research', 'communication skills']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Data Analyst,Indium Software,Hybrid,1 - 3 years,Avg. salary - 14.7 LPA,1 day ago,100+,"Hyderabad, Bengaluru Job Title: Operations & Insights Analyst Location: Bangalore/Hyderabad Seeking an Operations & Insights Analyst who can bridge data and business operations. This role focuses on driving operational efficiency, generating actionable insights, and communicating findings through clear presentations. The ideal candidate is process-oriented, comfortable working with data, and skilled at collaborating with cross-functional stakeholders. Key Responsibilities Analyse data to identify trends, inefficiencies, and improvement opportunities. Support day-to-day operational reporting, tracking key metrics, SLAs, and performance indicators. Use SQL (basic to intermediate) to extract data for reports, dashboards, and ad-hoc analysis. Translate data insights into clear, structured presentations for leadership and business teams. Work closely with operations, program, and business teams to understand processes and pain points. Recommend and support process improvements based on data-backed insights. Ensure accuracy, consistency, and timeliness of operational reports. Assist in documentation of processes, workflows, and standard operating procedures (SOPs). Strong presentation and storytelling skills (PowerPoint / Google Slides). Excellent verbal and written communication skills. Basic to intermediate SQL for data extraction and analysis. Strong problem-solving and analytical thinking abilities. Ability to work with multiple stakeholders and manage priorities effectively. Exposure to process frameworks.","communication skills, data analysis, excel, presentation skills, sql",https://www.naukri.com/job-listings-data-analyst-indium-software-hyderabad-bengaluru-1-to-3-years-030226008651,Other,1.0,Entry,7.0,"['presentation skills', 'excel', 'data analysis', 'sql', 'communication skills']",1,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0
Data Analyst,Amgen Inc,Hyderabad,4 - 9 years,Avg. salary - 37.6 LPA,4 days ago,100+,"This role provides operational, systems, reporting, and analytics support across the SPaCEE ecosystem, withfocused focusedpartnership on Speaker Program Congress Operations. It ensures data integrity, supports platform functionality, and builds insights and reporting that enable visibility into engagement, performance, and operational efficiency. The position plays a key role in day-to-day execution while helping shape future analytical capabilities. Responsibilities of this position will include: Field Support Escalation Leadership Serve as the primary point of contact forSPaCEEsystem supportand business teams. Resolve technology and service-delivery issues acrossdata platforms andassociatedsystems. Provide direct support for Centris platform issues, troubleshooting, and inquiry response. Systems, Data Integrity Change Management Lead Centris change management cycles, includingvendorcoordination, testing, validation, and documentation. Manage quarterly realignments, new product onboarding, and field-force restructuring activities. Ensure stable data feeds between connected systems and oversee semester checks for accuracy. Support platform maintenance releases, upgrades, and cross-system dependency assessments. Reporting, Data, and Analytics Develop and maintain dashboards, scorecards, and automated reports (Tableau, Power BI, Salesforce/Centris).Ensureaccuracy and integrity of program data across all systems and vendors. Build and automate reportingforroutine, ad hoc, and executive-levelneedstosupport operational and strategic decision-making. Analyze program data to identify trends, efficiency gains, and opportunities for optimization. Congress Speaker Program Integration (ROE/ROS, Customer Journey) Lead the development of the Congress Performance Dashboard measuring ROE (Returnon Engagement) and ROS (Return on Spend). Automate follow-up call tracking for HCPs and prescribers attending Speaker Programs. Deliver unified reach, engagement, and conversion metrics acrossSpeakerPrograms and Congresses to inform future strategy and brand planning. Process Optimization Documentation Maintain and improve process documentation, workflows, and SOP alignment. Partnerwith IS, Commercial, andvendor teamsto implement enhancements, streamline data interfaces, and drive continuous improvement. Build and maintain automated reports and insights packages that support greater operational efficiency. Basic Qualifications Preferred Qualifications Strong time management, organization, and prioritization skills Strong problem-solving skills Strong written and verbal communication skills Exceptional attention to detail with the ability to multi-task Ability to work well in teams and interact effectively with various levels of management Willingness to be flexible to meet team goals and priorities Strong computer and database skillswith Microsoft Word, PowerPoint, Excel, Outlook, and Teams Be Ethical - Encourages others to stay open to, seek, and learn from diverse perspectives. Create Value for Patience, Staff, and Stockholders - Is dedicated to meeting the expectations and requirements of internal and external stakeholders. Work in Teams - Ensures that the teams plans and priorities are aligned and coordinated across different areas of the organization. Collaborate, Communicate, and Be Accountable - Holds self and team accountable for outcomes (e.g., achieving goals and complying with policies and procedures). Shapes Amgens Future - Considers future possibilities and scenarios that may affect the team/organization. Develops the Best Teams - Ensures that all team members are motivated to work toward common goals. Delivers Results - Addresses risks and contingencies as part of the planning process.","business analysis, change management, data analysis, power bi, project management, salesforce, tableau",https://www.naukri.com/job-listings-data-analyst-amgen-inc-hyderabad-4-to-9-years-300126922214,Hyderabad,4.0,Mid,6.0,"['project management', 'change management', 'data analysis', 'power bi', 'salesforce', 'tableau', 'business analysis']",1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0
Data Analyst L4,Wipro,Hyderabad,5 - 8 years,Avg. salary - 5.2 LPA,1 day ago,50+,"The purpose of this role is to interpret data and turn into information (reports, dashboards, interactive visualizations etc) which can offer ways to improve a business, thus affecting business decisions. 1. Managing the technical scope of the project in line with the requirements at all stages a. Gather information from various sources (data warehouses, database, data integration and modelling) and interpret patterns and trends b. Develop record management process and policies c. Build and maintain relationships at all levels within the client base and understand their requirements. e. Identify areas to increase efficiency and automation of processes f. Set up and maintain automated data processes g. Identify, evaluate and implement external services and tools to support data validation and cleansing. h. Produce and track key performance indicators 2. Analyze the data sets and provide adequate information a. Liaise with internal and external clients to fully understand data content b. Design and carry out surveys and analyze survey data as per the customer requirement c. Analyze and interpret complex data sets relating to customers business and prepare reports for internal and external audiences using business analytics reporting tools d. Create data dashboards, graphs and visualization to showcase business performance and also provide sector and competitor benchmarking e. Mine and analyze large datasets, draw valid inferences and present them successfully to management using a reporting tool","automation, business analytics, data analysis, data engineering, data integration, data validation, design, reporting tools, sales",https://www.naukri.com/job-listings-data-analyst-l4-wipro-limited-hyderabad-5-to-8-years-030226928715,Hyderabad,5.0,Mid,2.0,"['business analytics', 'data validation', 'data engineering', 'data integration', 'automation', 'data analysis', 'sales', 'reporting tools', 'design']",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Data Analyst L4,Wipro,Hyderabad,5 - 8 years,Avg. salary - 5.2 LPA,1 day ago,50+,"The purpose of this role is to interpret data and turn into information (reports, dashboards, interactive visualizations etc) which can offer ways to improve a business, thus affecting business decisions. 1. Managing the technical scope of the project in line with the requirements at all stages a. Gather information from various sources (data warehouses, database, data integration and modelling) and interpret patterns and trends b. Develop record management process and policies c. Build and maintain relationships at all levels within the client base and understand their requirements. e. Identify areas to increase efficiency and automation of processes f. Set up and maintain automated data processes g. Identify, evaluate and implement external services and tools to support data validation and cleansing. h. Produce and track key performance indicators 2. Analyze the data sets and provide adequate information a. Liaise with internal and external clients to fully understand data content b. Design and carry out surveys and analyze survey data as per the customer requirement c. Analyze and interpret complex data sets relating to customers business and prepare reports for internal and external audiences using business analytics reporting tools d. Create data dashboards, graphs and visualization to showcase business performance and also provide sector and competitor benchmarking e. Mine and analyze large datasets, draw valid inferences and present them successfully to management using a reporting tool","automation, business analytics, data analysis, data engineering, data integration, data validation, design, reporting tools, sales",https://www.naukri.com/job-listings-data-analyst-l4-wipro-limited-hyderabad-5-to-8-years-030226928598,Hyderabad,5.0,Mid,2.0,"['business analytics', 'data validation', 'data engineering', 'data integration', 'automation', 'data analysis', 'sales', 'reporting tools', 'design']",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Data Analyst - CPG Domain,Tiger Analytics,"Kochi/Cochin, Thrissur/Trichur, Salem, Chennai, Coimbatore",4 - 6 years,4-9 Lacs P.A.,1 day ago,100+,"Data Analyst - CPG Domain Hyderabad, Chennai, Bengaluru Tiger Analytics is global analytics consulting firm. With data and technology at the core of our solutions, we are solving some of the toughest problems out there. Our culture is modelled around expertise and mutual respect with a team first mindset. Working at Tiger, youll be at the heart of this AI revolution. Youll work with teams that push the boundaries of what-is-possible and build solutions that energize and inspire. We are headquartered in the Silicon Valley and have our delivery centres across the globe. As a Data Analyst , you will help translate business problems into unambiguous analytic problem statements and design analytical frameworks to address them. On a typical work day, you could be doing one or more of the following: Collaborate with the team of data scientists and engineers to plan and drive the execution of business solutions Contribute to client presentations, reports Handle client discussions in structured project settings EXPERTISE AND QUALIFICATIONS: Data handling proficiency: Knowledge of querying data using SQL on traditional RDBMS databases, and/or big data environments such as Hadoop/Hive/Spark. Ability to analyse and visualize data one or more tools such as Tableau, PowerBI, Qlikview. Appreciation of different types of Statistical / Machine Learning / AI techniques, when and why they are used and to interpret results from a business viewpoint (the expectation is not a data scientist expert level proficiency, but a clear conceptual understanding). Ability to leverage analytics to solve structured or unstructured problems and interpreting results. Appreciation for how analytics is used in one or more functional areas such as Customer / CRM, Marketing, Operations & Planning, Risk, and one or more industry verticals like Retail, CPG, FMCG etc. Excellent presentation and communication skills.","data analysis, data analytics analyst, marketing analytics, power bi analyst, predictive analytics, predictive modeling, retail analytics, sql",https://www.naukri.com/job-listings-data-analyst-cpg-domain-tiger-analytics-hyderabad-chennai-bengaluru-4-to-6-years-030226925440,Chennai,4.0,Mid,4.0,"['marketing analytics', 'retail analytics', 'predictive modeling', 'data analytics analyst', 'data analysis', 'predictive analytics', 'sql', 'power bi analyst']",1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0
