job_title,company,location,experience,posted_time,job_url,city,page_no
Employee Data Analyst,Salesforce,Hyderabad,5-6 Yrs,2 weeks ago,https://www.naukri.com/job-listings-employee-data-analyst-salesforce-hyderabad-5-to-6-years-150126504411,Hyderabad,1
Data Analyst I,Syneos Health,Hyderabad,2-4 Yrs,1 day ago,https://www.naukri.com/job-listings-data-analyst-i-syneos-health-hyderabad-2-to-4-years-020226501376,Hyderabad,1
Data Analyst,S&P Global Market Intelligence,"Hyderabad, Ahmedabad",2-5 Yrs,6 days ago,https://www.naukri.com/job-listings-data-analyst-s-p-capital-iq-india-pvt-ltd-hyderabad-ahmedabad-2-to-5-years-290126907915,Hyderabad,1
Data Analyst,Soul Ai,Remote,2-4 Yrs,5 days ago,https://www.naukri.com/job-listings-data-analyst-soul-ai-hyderabad-2-to-4-years-290126931795,Hyderabad,1
Data Analyst - Data Forward Event,S&P Global Market Intelligence,"Hyderabad, Ahmedabad, Bengaluru",1-4 Yrs,1 day ago,https://www.naukri.com/job-listings-data-analyst-data-forward-event-sp-capital-iq-india-pvt-ltd-hyderabad-ahmedabad-bengaluru-1-to-4-years-020226912650,Hyderabad,1
Data Analyst,Indium Software,"Hybrid - Hyderabad, Bengaluru",1-3 Yrs,1 day ago,https://www.naukri.com/job-listings-data-analyst-indium-software-hyderabad-bengaluru-1-to-3-years-030226008651,Hyderabad,1
Data Analyst,Amgen Inc,Hyderabad,4-9 Yrs,4 days ago,https://www.naukri.com/job-listings-data-analyst-amgen-inc-hyderabad-4-to-9-years-300126922214,Hyderabad,1
Data Analyst L4,Wipro,Hyderabad,5-8 Yrs,1 day ago,https://www.naukri.com/job-listings-data-analyst-l4-wipro-limited-hyderabad-5-to-8-years-030226928715,Hyderabad,1
Data Analyst L4,Wipro,Hyderabad,5-8 Yrs,1 day ago,https://www.naukri.com/job-listings-data-analyst-l4-wipro-limited-hyderabad-5-to-8-years-030226928598,Hyderabad,1
Data Analyst - CPG Domain,Tiger Analytics,"Hyderabad, Chennai, Bengaluru",4-6 Yrs,1 day ago,https://www.naukri.com/job-listings-data-analyst-cpg-domain-tiger-analytics-hyderabad-chennai-bengaluru-4-to-6-years-030226925440,Hyderabad,1
Data Analyst,Cognizant,Hyderabad,5-10 Yrs,6 days ago,https://www.naukri.com/job-listings-data-analyst-cognizant-hyderabad-5-to-10-years-261125013003,Hyderabad,1
Data Analyst,Amgen Inc,Hyderabad,1-3 Yrs,5 days ago,https://www.naukri.com/job-listings-data-analyst-amgen-inc-hyderabad-1-to-3-years-300126909096,Hyderabad,1
Data Analyst,Vlink,Hybrid - Hyderabad,10-14 Yrs,6 days ago,https://www.naukri.com/job-listings-data-analyst-bclericz-hyderabad-10-to-14-years-280126042522,Hyderabad,1
Data Analyst,Keka Technologies,Hyderabad,3-7 Yrs,1 day ago,https://www.naukri.com/job-listings-data-analyst-keka-hyderabad-3-to-7-years-030226500395,Hyderabad,1
Data Analyst,Keka Technologies,Hyderabad,3-7 Yrs,1 day ago,https://www.naukri.com/job-listings-data-analyst-keka-hr-payroll-software-hyderabad-3-to-7-years-030226500543,Hyderabad,1
Data Analyst,CGI,Hyderabad,10-14 Yrs,Just now,https://www.naukri.com/job-listings-data-analyst-cgi-information-systems-and-management-consultants-private-limited-hyderabad-10-to-14-years-040226907049,Hyderabad,1
Data Analyst,Virtusa,Hyderabad,10-12 Yrs,1 day ago,https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-10-to-12-years-020226912424,Hyderabad,1
Data Analyst,Virtusa,Hyderabad,5-10 Yrs,6 days ago,https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-5-to-10-years-280126941139,Hyderabad,1
Data Analyst,Thermo Fisher Scientific India,Hyderabad,3-5 Yrs,1 week ago,https://www.naukri.com/job-listings-data-analyst-thermo-fisher-scientific-india-pvt-ltd-hyderabad-3-to-5-years-220126501974,Hyderabad,1
Data Analyst,Capco,Hyderabad,8-12 Yrs,4 days ago,https://www.naukri.com/job-listings-data-analyst-capco-technologies-pvt-ltd-hyderabad-8-to-12-years-300126506387,Hyderabad,1
Data Analyst,Careernet,Hyderabad,1-3 Yrs,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-careernet-hyderabad-1-to-3-years-130126007569,Hyderabad,2
Data Analyst,Wipro,Hyderabad,2-7 Yrs,1 week ago,https://www.naukri.com/job-listings-data-analyst-wipro-limited-hyderabad-2-to-7-years-210126935415,Hyderabad,2
